condition_id,participant_id,luminance_label_cd_m2,included_in_thesis_main_isf,recorded_staircases,included_staircases,excluded_staircases,profile_positions,accepted_rows,retained_endpoint_modes
P01_L010,P01,10,True,128,125,3,16,15924,2
P01_L020,P01,20,True,96,93,3,12,23607,1
P01_L025,P01,25,True,123,120,3,16,23821,2
P01_L050,P01,50,True,225,222,3,28,22061,1
P01_L200,P01,200,True,192,185,7,23,15357,1
P02_L010,P02,10,True,96,96,0,12,30539,2
P02_L026,P02,26,True,128,128,0,16,12065,2
P02_L049,P02,49,True,160,160,0,20,3624,2
P02_L100,P02,100,True,160,160,0,20,5458,2
P03_L010,P03,10,False,132,132,0,16,22929,2
P03_L049,P03,49,False,128,128,0,16,6522,2
P03_L100,P03,100,False,160,160,0,20,23,0
P03_L200,P03,200,False,160,160,0,20,1673,2
P04_L010,P04,10,True,128,128,0,16,12998,2
P04_L049,P04,49,True,128,128,0,16,33824,1
P04_L100,P04,100,True,160,160,0,20,25336,1
P04_L200,P04,200,True,165,165,0,20,25024,2
