condition_id,participant_id,luminance_label_cd_m2,saved_rows,accepted_rows,thesis_accepted_rows,counts_match,included_in_thesis_main_isf
P01_L010,P01,10,50000,15924,15924,True,True
P01_L020,P01,20,50000,23607,23607,True,True
P01_L025,P01,25,50000,23821,23821,True,True
P01_L050,P01,50,50000,22061,22061,True,True
P01_L200,P01,200,50000,15357,15357,True,True
P02_L010,P02,10,50000,30539,30539,True,True
P02_L026,P02,26,50000,12065,12065,True,True
P02_L049,P02,49,50000,3624,3624,True,True
P02_L100,P02,100,50000,5458,5458,True,True
P03_L010,P03,10,50000,22929,22929,True,False
P03_L049,P03,49,50000,6522,6522,True,False
P03_L100,P03,100,50000,23,23,True,False
P03_L200,P03,200,50000,1673,1673,True,False
P04_L010,P04,10,50000,12998,12998,True,True
P04_L049,P04,49,50000,33824,33824,True,True
P04_L100,P04,100,50000,25336,25336,True,True
P04_L200,P04,200,50000,25024,25024,True,True
