condition_id,participant_id,luminance_label_cd_m2,included_in_thesis_main_isf,endpoint_status,candidate_mode,isf_estimate_cpd,isf_lower_cpd,isf_upper_cpd,error_minus_cpd,error_plus_cpd,accepted_rows,cluster_count,dominant_retained_mode,interval_definition,peak_locator
P01_L010,P01,10,True,Retained descriptive mode,1,2.7381,1.818898,3.118182999999999,0.9192020000000003,0.3800829999999986,15924,11748,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L010,P01,10,True,Retained descriptive mode,2,4.24355,3.9703239999999997,5.249304000000001,0.2732260000000002,1.0057540000000014,15924,2254,False,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L020,P01,20,True,Retained descriptive mode,1,3.364,1.7290254999999999,4.433053999999998,1.6349745,1.0690539999999977,23607,22042,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L025,P01,25,True,Retained descriptive mode,1,2.8958500000000003,2.038169,3.7489665,0.8576810000000004,0.8531164999999996,23821,3068,False,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L025,P01,25,True,Retained descriptive mode,2,5.0781,4.440008,6.479492,0.6380920000000003,1.4013919999999995,23821,20473,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L050,P01,50,True,Retained descriptive mode,1,6.0836,4.367495,7.646313999999998,1.7161049999999998,1.562713999999998,22061,22027,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P01_L200,P01,200,True,Retained descriptive mode,2,6.5083,5.7993875,8.404337499999999,0.7089125000000003,1.8960374999999985,15357,15346,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P02_L010,P02,10,True,Retained descriptive mode,1,3.66,2.5407865,4.8507905,1.1192135000000003,1.1907904999999994,30539,14930,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P02_L010,P02,10,True,Retained descriptive mode,2,6.1127,4.95035,7.816659999999999,1.16235,1.7039599999999986,30539,14871,False,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P02_L026,P02,26,True,Retained descriptive mode,1,3.6594,2.494393,4.953855999999999,1.1650070000000001,1.294455999999999,12065,8119,True,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
P02_L026,P02,26,True,Retained descriptive mode,2,7.7404,5.406242,8.923404999999999,2.3341580000000004,1.1830049999999988,12065,3943,False,Within-candidate 0.5th–99.5th percentiles; not population CI,source_histogram_spline
