condition_id,variant,candidate_mode,peak_locator,interval_low_cpd,spline_peak_cpd,interval_high_cpd,cluster_count,cluster_fraction_of_accepted,percentile_low,percentile_high,quantile_low_cpd,median_cpd,quantile_high_cpd,kde_mass,retained_for_display,representative_input_index_row_linked,representative_input_index_source_code,representative_selection_agrees,representative_saved_fms,included_in_thesis_main_isf,dominant_retained_mode
P01_L010,thesis_percentiles,1,source_histogram_spline,1.031000988084859,2.755261261261261,3.715158732926475,11748,0.7377543330821401,0.5,99.5,1.818898,2.7381,3.118182999999999,0.6956115291059581,True,29769,9484,False,0.9829,True,True
P01_L010,thesis_percentiles,2,source_histogram_spline,3.715158732926475,4.30176274338855,5.279436094158674,2254,0.1415473499120824,0.5,99.5,3.9703239999999997,4.24355,5.249304000000001,0.12792805410852637,True,32782,12165,False,0.968,True,False
P01_L010,current_driver_percentiles,1,source_histogram_spline,1.031000988084859,2.755261261261261,3.715158732926475,11748,0.7377543330821401,2.5,97.5,2.2630775,2.7381,2.940927499999999,0.5606148569388224,True,29769,9484,False,0.9829,True,True
P01_L010,current_driver_percentiles,2,source_histogram_spline,3.715158732926475,4.30176274338855,5.279436094158674,2254,0.1415473499120824,2.5,97.5,4.0715325,4.24355,5.032032499999999,0.10856415208816413,True,32782,12165,False,0.968,True,False
P01_L020,thesis_percentiles,1,source_histogram_spline,0.8532852852852852,3.662016016016016,4.995274274274274,22042,0.9337061041216588,0.5,99.5,1.7290254999999999,3.364,4.433053999999998,0.9202914906106126,True,280,55,False,0.9993,True,True
P01_L020,thesis_percentiles,2,source_histogram_spline,4.995274274274274,5.919666666666666,6.559630630630631,875,0.03706527724827382,0.5,99.5,5.0077,5.8503,6.532026,0.03643342765094442,False,902,14026,False,0.9565,True,False
P01_L020,current_driver_percentiles,1,source_histogram_spline,0.8532852852852852,3.662016016016016,4.995274274274274,22042,0.9337061041216588,2.5,97.5,1.9990025,3.364,4.1735,0.8718752069218559,True,280,55,False,0.9993,True,True
P01_L020,current_driver_percentiles,2,source_histogram_spline,4.995274274274274,5.919666666666666,6.559630630630631,875,0.03706527724827382,2.5,97.5,5.027,5.8503,6.41179,0.03514564340984171,False,902,14026,False,0.9565,True,False
P01_L025,thesis_percentiles,1,source_histogram_spline,0.976783234847751,2.8415512286480027,3.853853853853854,3068,0.128793921329919,0.5,99.5,2.038169,2.8958500000000003,3.7489665,0.12428716088451436,True,27771,9115,False,0.9905,True,False
P01_L025,thesis_percentiles,2,source_histogram_spline,3.853853853853854,5.025993735671155,7.281475023410507,20473,0.8594517442592671,0.5,99.5,4.440008,5.0781,6.479492,0.8427681467796496,True,49628,2786,False,0.9729,True,True
P01_L025,current_driver_percentiles,1,source_histogram_spline,0.976783234847751,2.8415512286480027,3.853853853853854,3068,0.128793921329919,2.5,97.5,2.1101349999999996,2.8958500000000003,3.5719524999999996,0.11933759390528,True,27771,9115,False,0.9905,True,False
P01_L025,current_driver_percentiles,2,source_histogram_spline,3.853853853853854,5.025993735671155,7.281475023410507,20473,0.8594517442592671,2.5,97.5,4.81668,5.0781,6.3634200000000005,0.7418883434582222,True,49628,2786,False,0.9729,True,True
P01_L050,thesis_percentiles,1,source_histogram_spline,2.936551390099777,6.051075591720752,8.311330298039975,22027,0.9984588187298853,0.5,99.5,4.367495,6.0836,7.646313999999998,0.988050103811624,True,30673,13601,False,0.9818,True,True
P01_L050,thesis_percentiles,2,source_histogram_spline,8.311330298039975,12.547083212244502,9.0,33,0.001495852409228956,0.5,99.5,8.319016,8.5675,9.0,0.0013191147664720938,False,49116,1313,False,0.9266,True,False
P01_L050,current_driver_percentiles,1,source_histogram_spline,2.936551390099777,6.051075591720752,8.311330298039975,22027,0.9984588187298853,2.5,97.5,4.99453,6.0836,7.318284999999999,0.9455655899553898,True,30673,13601,False,0.9818,True,True
P01_L050,current_driver_percentiles,2,source_histogram_spline,8.311330298039975,12.547083212244502,9.0,33,0.001495852409228956,2.5,97.5,8.32548,8.5675,9.0,0.0012919659012207829,False,49116,1313,False,0.9266,True,False
P01_L200,thesis_percentiles,1,source_histogram_spline,2.6963,2.262437602118247,2.6963,1,6.511688480823077e-05,0.5,99.5,2.6963,2.6963,2.6963,0.0,False,16708,,False,0.8058,True,False
P01_L200,thesis_percentiles,2,source_histogram_spline,3.3847491685233617,6.431023420194387,12.73734555523265,15346,0.9992837142671095,0.5,99.5,5.7993875,6.5083,8.404337499999999,0.9873274448791256,True,15647,7070,False,0.9747,True,True
P01_L200,current_driver_percentiles,1,source_histogram_spline,2.6963,2.262437602118247,2.6963,1,6.511688480823077e-05,2.5,97.5,2.6963,2.6963,2.6963,0.0,False,16708,,False,0.8058,True,False
P01_L200,current_driver_percentiles,2,source_histogram_spline,3.3847491685233617,6.431023420194387,12.73734555523265,15346,0.9992837142671095,2.5,97.5,5.9469,6.5083,7.80265,0.9156954785175987,True,15647,7070,False,0.9747,True,True
P02_L010,thesis_percentiles,1,source_histogram_spline,2.2377215925603022,3.6762569020633533,4.919435564596855,14930,0.48888306755296507,0.5,99.5,2.5407865,3.66,4.8507905,0.4847616685067848,True,10588,1646,False,0.9967,True,True
P02_L010,thesis_percentiles,2,source_histogram_spline,4.919435564596855,6.073815751235106,8.169459782363008,14871,0.4869511116932447,0.5,99.5,4.95035,6.1127,7.816659999999999,0.4798031941699038,True,4353,1942,False,0.9988,True,False
