condition_id,exclusion_candidate,probe_position_deg,distance_from_flanker_edge_deg,base_threshold,flanker_threshold,base_sensitivity,flanker_sensitivity,log_sensitivity_ratio,spread,base_staircases,flanker_staircases
P01_L010,storage_script_active_exclusions,-0.424,0.07600000000000001,0.018067362175245454,0.022499026313623393,55.34842276921449,44.44636785879439,-0.21936491750260306,0.29511505145192823,4,4
P01_L010,storage_script_active_exclusions,-0.4011,0.09889999999999999,0.04193791873493902,0.04149785592849607,23.844769367796193,24.097630531155037,0.010548637891380299,0.22503280092205655,3,4
P01_L010,storage_script_active_exclusions,-0.3724,0.1276,0.037787621919759325,0.04687095603727439,26.46369232029114,21.33517394449442,-0.2154166228064074,0.32224851656474496,4,3
P01_L010,storage_script_active_exclusions,-0.3209,0.17909999999999998,0.018968181700774474,0.0175404435505574,52.71986613029808,57.0111010658121,0.07825365348006955,0.22745704119556914,4,4
P01_L010,storage_script_active_exclusions,-0.2693,0.23070000000000002,0.035939189165833815,0.028353931329319355,27.824779111896785,35.268477883557225,0.23706262854035334,0.21476146275523006,4,4
P01_L010,storage_script_active_exclusions,-0.212,0.28800000000000003,0.02096164034897025,0.022901752502988648,47.70619013359446,43.66478066992914,-0.08851931883205666,0.22443138388772566,4,4
P01_L010,storage_script_active_exclusions,-0.1604,0.3396,0.0328167622194453,0.04050949395295166,30.472232248660358,24.685571267846868,-0.21059693710442118,0.30547285160766713,4,4
P01_L010,storage_script_active_exclusions,-0.1089,0.3911,0.017396021835091834,0.02153022523089436,57.484407037404765,46.446332505851835,-0.21321622266651338,0.2999839802026409,4,4
P01_L010,storage_script_active_exclusions,-0.0516,0.4484,0.039822688869070776,0.04097531039857271,25.11131288215632,24.404940201132263,-0.028532877968958214,0.2541916406819151,4,4
P01_L010,storage_script_active_exclusions,0.0,0.5,0.02310386156818674,0.023092351397578856,43.28280781326041,43.30438173155663,0.0004983166414354168,0.20198089853984658,4,4
P01_L010,storage_script_active_exclusions,0.0516,0.5516,0.01719003660342176,0.01611924394844882,58.17323273185731,62.037649110474035,0.0643161142188146,0.2244379298136742,4,4
P01_L010,storage_script_active_exclusions,0.1089,0.6089,0.04315130440342433,0.03489446865356713,23.17427048440843,28.657837146856046,0.2123843212385999,0.23318962285030384,4,4
P01_L010,storage_script_active_exclusions,0.1604,0.6604,0.01662515588665443,0.01959010521089925,60.14981193666482,51.04617812076042,-0.16410763944634912,0.291668615135914,4,4
P01_L010,storage_script_active_exclusions,0.2693,0.7693,0.014823384115480448,0.01547373650694757,67.4609786948497,64.62563192484303,-0.04293822619351512,0.2912815947993527,4,4
P01_L010,storage_script_active_exclusions,0.3209,0.8209,0.03177025094541827,0.04665157485050702,31.475986819179166,21.435503585987338,-0.38417633850955,0.47910971046091677,3,4
P01_L010,storage_script_active_exclusions,0.3724,0.8724000000000001,0.02302731976516742,0.021152926375191852,43.42667797199148,47.27478280134326,0.08490306809659409,0.28972277219156145,4,4
P01_L020,storage_script_active_exclusions,-0.4183,0.0817,0.04350150241805363,0.05533045708185365,22.98771178958151,18.073228611154256,-0.24052804204471118,0.49305736733488653,4,4
P01_L020,storage_script_active_exclusions,-0.3552,0.14479999999999998,0.02541205684103799,0.02617115605343024,39.351399465827484,38.210004860252646,-0.029434150143709592,0.20786949621507902,4,4
P01_L020,storage_script_active_exclusions,-0.2865,0.21350000000000002,0.019931436027681382,0.02144213744559683,50.171999579516985,46.63714158801604,-0.0730598403238135,0.23283564442147747,4,4
P01_L020,storage_script_active_exclusions,-0.2177,0.2823,0.03537902935619262,0.043455750500251335,28.265331700655135,23.011914153783085,-0.20562393694710648,0.3570554040036592,4,4
P01_L020,storage_script_active_exclusions,-0.1547,0.3453,0.026075961158470516,0.02298058634286075,38.34949722170298,43.51499065691439,0.1263640740600529,0.1749434336642195,4,3
P01_L020,storage_script_active_exclusions,-0.0859,0.4141,0.06260855553414717,0.04639688166109546,15.972257968075827,21.553172631395103,0.29966968724815773,0.25717875435236065,3,4
P01_L020,storage_script_active_exclusions,-0.0172,0.4828,0.020005944389395566,0.01819115226971097,49.985143442169324,54.971778872141144,0.09509411201082016,0.439009440015699,4,4
P01_L020,storage_script_active_exclusions,0.0458,0.5458,0.03473502541666699,0.0472619312273323,28.789384432699094,21.1586783280173,-0.30795657893623857,0.48021408927758996,4,4
P01_L020,storage_script_active_exclusions,0.1146,0.6146,0.020111216003761017,0.022278931740848874,49.723497565387845,44.885455534049676,-0.10236379733735733,0.22927444027533825,4,4
P01_L020,storage_script_active_exclusions,0.1776,0.6776,0.02168958598168814,0.02124826636427635,46.10507553460309,47.06266303594773,0.020556927490642127,0.23708700473808597,4,4
P01_L020,storage_script_active_exclusions,0.2464,0.7464,0.05728124076809041,0.04784240413762226,17.457722399006915,20.90195963236766,0.18006082177933597,0.23799004922079975,4,4
P01_L020,storage_script_active_exclusions,0.3151,0.8150999999999999,0.0252472687840059,0.023302494807604025,39.60824469985831,42.913860007542276,0.08015755477339094,0.28310499079409635,3,4
P01_L025,storage_script_active_exclusions,-0.4813,0.018699999999999994,0.05477257516768534,0.03734564227722217,18.257312111736876,26.776885843249225,0.38297338340029297,0.45153742614090303,4,1
P01_L025,storage_script_active_exclusions,-0.4412,0.05880000000000002,0.028774637600161693,0.05023809559374703,34.752826912905434,19.905213129226713,-0.5572792549976671,0.19015493813495982,4,3
P01_L025,storage_script_active_exclusions,-0.4183,0.0817,0.0526881031807178,0.04464062290425783,18.97961664268014,22.401121107667603,0.16574541204226662,0.23680029006720224,4,3
P01_L025,storage_script_active_exclusions,-0.3896,0.1104,0.0470881283017114,0.04765676817881616,21.23677529912896,20.98337839963954,-0.012003743233632125,0.16645976030752957,4,4
P01_L025,storage_script_active_exclusions,-0.3552,0.14479999999999998,0.049526183221985175,0.02133479906547396,20.19133991242212,46.871779618412106,0.8421619851818082,0.33902209234543335,4,4
P01_L025,storage_script_active_exclusions,-0.3266,0.1734,0.031405652910860324,0.028934480726726625,31.841401382048392,34.56084142115968,0.08195391705363725,0.22982425697093622,4,4
P01_L025,storage_script_active_exclusions,-0.2922,0.20779999999999998,0.021497275730974555,0.04684196885127463,46.51752215091796,21.34837677671161,-0.7788533544737315,0.22709644655007746,4,4
