condition_id,candidate_mode,selection,assumed_input_index,point_index,probe_position_deg,distance_from_flanker_edge_deg,log_sensitivity_ratio,spread_recorded,errorbar_halfwidth_source_convention
P01_L010,1,row_linked_max_fms,29769,0,-0.424,0.07600000000000001,-0.29540792423616646,0.23834247666310418,0.11917123833155209
P01_L010,1,row_linked_max_fms,29769,1,-0.4011,0.09889999999999999,-0.08752135519571756,0.21404687750971182,0.10702343875485591
P01_L010,1,row_linked_max_fms,29769,2,-0.3724,0.1276,-0.021999588997637043,0.1705323012938097,0.08526615064690485
P01_L010,1,row_linked_max_fms,29769,3,-0.3209,0.17909999999999998,0.10605360063145967,0.14976926902891213,0.07488463451445607
P01_L010,1,row_linked_max_fms,29769,4,-0.2693,0.23070000000000002,0.12443167106801481,0.1967209623654336,0.0983604811827168
P01_L010,1,row_linked_max_fms,29769,5,-0.212,0.28800000000000003,-0.0636150161497353,0.20308042118762962,0.10154021059381481
P01_L010,1,row_linked_max_fms,29769,6,-0.1604,0.3396,-0.14611804039288234,0.19178178816280866,0.09589089408140433
P01_L010,1,row_linked_max_fms,29769,7,-0.1089,0.3911,-0.08641432886963102,0.13923315496323066,0.06961657748161533
P01_L010,1,row_linked_max_fms,29769,8,-0.0516,0.4484,0.0010369631307891346,0.21073310417244995,0.10536655208622497
P01_L010,1,row_linked_max_fms,29769,9,0.0,0.5,0.0004983268949088188,0.20198089675496808,0.10099044837748404
P01_L010,1,row_linked_max_fms,29769,10,0.0516,0.5516,0.05534091109158797,0.2783747957645206,0.1391873978822603
P01_L010,1,row_linked_max_fms,29769,11,0.1089,0.6089,0.11418989826808129,0.11188227663226848,0.05594113831613424
P01_L010,1,row_linked_max_fms,29769,12,0.1604,0.6604,0.12132491134753581,0.21777053218781467,0.10888526609390733
P01_L010,1,row_linked_max_fms,29769,13,0.2693,0.7693,-0.0624250684514387,0.3121420580768302,0.1560710290384151
P01_L010,1,row_linked_max_fms,29769,14,0.3209,0.8209,-0.17347798552670599,0.08465056675175636,0.04232528337587818
P01_L010,1,row_linked_max_fms,29769,15,0.3724,0.8724000000000001,0.019950558540393407,0.18434949557621175,0.09217474778810587
P01_L010,1,source_plotting_index_rule,9484,0,-0.424,0.07600000000000001,-0.3982043218053196,0.2576622430225947,0.12883112151129736
P01_L010,1,source_plotting_index_rule,9484,1,-0.4011,0.09889999999999999,-0.16693891054306856,0.0904130935040292,0.0452065467520146
P01_L010,1,source_plotting_index_rule,9484,2,-0.3724,0.1276,0.008862387293555322,0.1754227580566744,0.0877113790283372
P01_L010,1,source_plotting_index_rule,9484,3,-0.3209,0.17909999999999998,0.09363691194220777,0.22086497443969905,0.11043248721984952
P01_L010,1,source_plotting_index_rule,9484,4,-0.2693,0.23070000000000002,0.16361815985821354,0.2219128970562741,0.11095644852813705
P01_L010,1,source_plotting_index_rule,9484,5,-0.212,0.28800000000000003,-0.1295898719952186,0.24257576097489006,0.12128788048744503
P01_L010,1,source_plotting_index_rule,9484,6,-0.1604,0.3396,-0.1260262600853861,0.16932001171329705,0.08466000585664853
P01_L010,1,source_plotting_index_rule,9484,7,-0.1089,0.3911,-0.09426704239956427,0.11059536425222057,0.05529768212611028
P01_L010,1,source_plotting_index_rule,9484,8,-0.0516,0.4484,-0.08051495404770329,0.1630790515481617,0.08153952577408086
P01_L010,1,source_plotting_index_rule,9484,9,0.0,0.5,0.008396301816160698,0.16841707633009875,0.08420853816504938
P01_L010,1,source_plotting_index_rule,9484,10,0.0516,0.5516,-0.04674384242801979,0.24895820463188212,0.12447910231594106
P01_L010,1,source_plotting_index_rule,9484,11,0.1089,0.6089,0.11334653045109772,0.12574217228838866,0.06287108614419433
P01_L010,1,source_plotting_index_rule,9484,12,0.1604,0.6604,0.20974225985058237,0.1674148939641595,0.08370744698207976
P01_L010,1,source_plotting_index_rule,9484,13,0.2693,0.7693,-0.04978787755723773,0.2346442235940581,0.11732211179702905
P01_L010,1,source_plotting_index_rule,9484,14,0.3209,0.8209,-0.287978023729833,0.15774867911860244,0.07887433955930122
P01_L010,1,source_plotting_index_rule,9484,15,0.3724,0.8724000000000001,0.09951364829472231,0.14407750591479068,0.07203875295739534
P01_L010,2,row_linked_max_fms,32782,0,-0.424,0.07600000000000001,-0.29540792423616646,0.23834247666310418,0.11917123833155209
P01_L010,2,row_linked_max_fms,32782,1,-0.4011,0.09889999999999999,-0.22326442703096286,0.24772752725530228,0.12386376362765114
P01_L010,2,row_linked_max_fms,32782,2,-0.3724,0.1276,-0.008113494583707326,0.19128770746757828,0.09564385373378914
P01_L010,2,row_linked_max_fms,32782,3,-0.3209,0.17909999999999998,0.1398159814160331,0.14406603523777753,0.07203301761888876
P01_L010,2,row_linked_max_fms,32782,4,-0.2693,0.23070000000000002,0.1949522587265405,0.17626561862444812,0.08813280931222406
P01_L010,2,row_linked_max_fms,32782,5,-0.212,0.28800000000000003,-0.08170167289049306,0.10086399834371916,0.05043199917185958
P01_L010,2,row_linked_max_fms,32782,6,-0.1604,0.3396,-0.20416250485984702,0.24423044951881642,0.12211522475940821
P01_L010,2,row_linked_max_fms,32782,7,-0.1089,0.3911,-0.0026091757270076334,0.11348296157880215,0.056741480789401076
P01_L010,2,row_linked_max_fms,32782,8,-0.0516,0.4484,0.005642966238306068,0.20063756504085742,0.10031878252042871
P01_L010,2,row_linked_max_fms,32782,9,0.0,0.5,0.0004983166414354168,0.20198089853984658,0.10099044926992329
P01_L010,2,row_linked_max_fms,32782,10,0.0516,0.5516,-0.014274881475224894,0.28706567570564756,0.14353283785282378
P01_L010,2,row_linked_max_fms,32782,11,0.1089,0.6089,0.16777356802371016,0.15462297555868942,0.07731148777934471
P01_L010,2,row_linked_max_fms,32782,12,0.1604,0.6604,0.07492331139456081,0.22772730542035308,0.11386365271017654
P01_L010,2,row_linked_max_fms,32782,13,0.2693,0.7693,-0.0624250684514387,0.3121420580768302,0.1560710290384151
P01_L010,2,row_linked_max_fms,32782,14,0.3209,0.8209,-0.04116436746882002,0.28709776195439557,0.14354888097719778
P01_L010,2,row_linked_max_fms,32782,15,0.3724,0.8724000000000001,0.061693758136211696,0.1343975000175243,0.06719875000876215
P01_L010,2,source_plotting_index_rule,12165,0,-0.424,0.07600000000000001,-0.3294961532388965,0.267451335231856,0.133725667615928
P01_L010,2,source_plotting_index_rule,12165,1,-0.4011,0.09889999999999999,-0.13135629823275416,0.112169067780377,0.0560845338901885
