condition_id,experiment,staircase_id,source_id,source_staircase_id,probe_position_deg,trials_recorded,trials_used,distinct_signed_positions,detected_reversals,final_five_geometric_threshold
P01_L010,base,P01_L010_BASE_T000_A01,P01_L010_BASE_T000,1.0,-0.3209,43,43,1,10,0.018847271224639153
P01_L010,base,P01_L010_BASE_T000_A02,P01_L010_BASE_T000,2.0,-0.424,44,44,1,10,0.022608330027154743
P01_L010,base,P01_L010_BASE_T000_A03,P01_L010_BASE_T000,3.0,-0.1089,33,33,1,10,0.023780908218862473
P01_L010,base,P01_L010_BASE_T000_A04,P01_L010_BASE_T000,6.0,0.1089,53,53,1,11,0.03025784863758182
P01_L010,base,P01_L010_BASE_T000_A05,P01_L010_BASE_T000,4.0,0.0,38,38,1,10,0.02653251966814406
P01_L010,base,P01_L010_BASE_T000_A06,P01_L010_BASE_T000,5.0,-0.212,36,36,1,10,0.023780908218862473
P01_L010,base,P01_L010_BASE_T001_A01,P01_L010_BASE_T001,1.0,0.3209,53,53,1,11,0.02451139674906054
P01_L010,base,P01_L010_BASE_T001_A02,P01_L010_BASE_T001,2.0,0.3724,34,34,1,10,0.023780908218862473
P01_L010,base,P01_L010_BASE_T001_A03,P01_L010_BASE_T001,3.0,0.2693,49,49,1,10,0.018593823668790428
P01_L010,base,P01_L010_BASE_T001_A04,P01_L010_BASE_T001,4.0,-0.4011,45,45,1,10,0.04510951628773357
P01_L010,base,P01_L010_BASE_T002_A01,P01_L010_BASE_T002,1.0,0.3724,42,42,1,10,0.022608330027154743
P01_L010,base,P01_L010_BASE_T002_A02,P01_L010_BASE_T002,2.0,-0.4011,46,46,1,10,0.0431765753958481
P01_L010,base,P01_L010_BASE_T002_A03,P01_L010_BASE_T002,3.0,0.3209,46,46,1,10,0.05293936207118498
P01_L010,base,P01_L010_BASE_T002_A04,P01_L010_BASE_T002,4.0,0.2693,37,37,1,10,0.013297745004192122
P01_L010,base,P01_L010_BASE_T003_A01,P01_L010_BASE_T003,1.0,0.3724,41,41,1,10,0.018504258577655176
P01_L010,base,P01_L010_BASE_T003_A02,P01_L010_BASE_T003,2.0,-0.4011,44,44,1,10,0.03831347158449156
P01_L010,base,P01_L010_BASE_T003_A03,P01_L010_BASE_T003,3.0,0.3209,54,54,1,10,0.04182072262791025
P01_L010,base,P01_L010_BASE_T003_A04,P01_L010_BASE_T003,4.0,0.2693,56,56,1,11,0.012411986877337966
P01_L010,base,P01_L010_BASE_T004_A01,P01_L010_BASE_T004,1.0,0.2693,37,37,1,10,0.014989980911601275
P01_L010,base,P01_L010_BASE_T004_A02,P01_L010_BASE_T004,2.0,0.3724,48,48,1,10,0.027215782236997273
P01_L010,base,P01_L010_BASE_T004_A03,P01_L010_BASE_T004,3.0,-0.4011,46,46,1,10,0.042390768332591915
