condition_id,participant_id,experiment,staircase_id,probe_position_deg,distance_from_flanker_edge_deg,detected_reversals,threshold_last_five,included_for_baseline_candidate
P01_L010,P01,base,P01_L010_BASE_T000_A01,-0.3209,0.17909999999999998,10,0.018847271224639153,True
P01_L010,P01,base,P01_L010_BASE_T000_A02,-0.424,0.07600000000000001,10,0.022608330027154743,True
P01_L010,P01,base,P01_L010_BASE_T000_A03,-0.1089,0.3911,10,0.023780908218862473,True
P01_L010,P01,base,P01_L010_BASE_T000_A04,0.1089,0.6089,11,0.03025784863758182,True
P01_L010,P01,base,P01_L010_BASE_T000_A05,0.0,0.5,10,0.02653251966814406,True
P01_L010,P01,base,P01_L010_BASE_T000_A06,-0.212,0.28800000000000003,10,0.023780908218862473,True
P01_L010,P01,base,P01_L010_BASE_T001_A01,0.3209,0.8209,11,0.02451139674906054,True
P01_L010,P01,base,P01_L010_BASE_T001_A02,0.3724,0.8724000000000001,10,0.023780908218862473,True
P01_L010,P01,base,P01_L010_BASE_T001_A03,0.2693,0.7693,10,0.018593823668790428,True
P01_L010,P01,base,P01_L010_BASE_T001_A04,-0.4011,0.09889999999999999,10,0.04510951628773357,True
P01_L010,P01,base,P01_L010_BASE_T002_A01,0.3724,0.8724000000000001,10,0.022608330027154743,True
P01_L010,P01,base,P01_L010_BASE_T002_A02,-0.4011,0.09889999999999999,10,0.0431765753958481,False
P01_L010,P01,base,P01_L010_BASE_T002_A03,0.3209,0.8209,10,0.05293936207118498,True
P01_L010,P01,base,P01_L010_BASE_T002_A04,0.2693,0.7693,10,0.013297745004192122,True
P01_L010,P01,base,P01_L010_BASE_T003_A01,0.3724,0.8724000000000001,10,0.018504258577655176,True
P01_L010,P01,base,P01_L010_BASE_T003_A02,-0.4011,0.09889999999999999,10,0.03831347158449156,True
P01_L010,P01,base,P01_L010_BASE_T003_A03,0.3209,0.8209,10,0.04182072262791025,False
P01_L010,P01,base,P01_L010_BASE_T003_A04,0.2693,0.7693,11,0.012411986877337966,True
P01_L010,P01,base,P01_L010_BASE_T004_A01,0.2693,0.7693,10,0.014989980911601275,True
P01_L010,P01,base,P01_L010_BASE_T004_A02,0.3724,0.8724000000000001,10,0.027215782236997273,True
P01_L010,P01,base,P01_L010_BASE_T004_A03,-0.4011,0.09889999999999999,10,0.042390768332591915,True
P01_L010,P01,base,P01_L010_BASE_T004_A04,0.3209,0.8209,11,0.01785999401600929,True
P01_L010,P01,base,P01_L010_BASE_T005_A01,-0.3724,0.1276,10,0.045109512231349645,True
P01_L010,P01,base,P01_L010_BASE_T005_A02,0.0516,0.5516,10,0.02060527814453922,True
P01_L010,P01,base,P01_L010_BASE_T005_A03,-0.0516,0.4484,10,0.04817240009447378,True
P01_L010,P01,base,P01_L010_BASE_T005_A04,0.1604,0.6604,11,0.014960928689778752,True
P01_L010,P01,base,P01_L010_BASE_T005_A05,-0.1604,0.3396,10,0.04195637736188175,True
P01_L010,P01,base,P01_L010_BASE_T005_A06,-0.2693,0.23070000000000002,10,0.033252016814495224,True
P01_L010,P01,base,P01_L010_BASE_T006_A01,-0.3724,0.1276,10,0.030257849198571524,True
P01_L010,P01,base,P01_L010_BASE_T006_A02,0.0516,0.5516,10,0.012642083346986008,True
P01_L010,P01,base,P01_L010_BASE_T006_A03,-0.0516,0.4484,10,0.045109512231349645,True
P01_L010,P01,base,P01_L010_BASE_T006_A04,0.1604,0.6604,11,0.01691954062631799,True
P01_L010,P01,base,P01_L010_BASE_T006_A05,-0.1604,0.3396,11,0.027533297988140408,True
P01_L010,P01,base,P01_L010_BASE_T006_A06,-0.2693,0.23070000000000002,10,0.04744911674087757,True
P01_L010,P01,base,P01_L010_BASE_T007_A01,0.1604,0.6604,10,0.013592162342685414,True
P01_L010,P01,base,P01_L010_BASE_T007_A02,-0.1604,0.3396,11,0.024677900903352232,True
P01_L010,P01,base,P01_L010_BASE_T007_A03,0.0516,0.5516,10,0.018847271224639153,True
P01_L010,P01,base,P01_L010_BASE_T007_A04,-0.0516,0.4484,10,0.035750994512877866,True
P01_L010,P01,base,P01_L010_BASE_T007_A05,-0.2693,0.23070000000000002,10,0.029803565707967203,True
P01_L010,P01,base,P01_L010_BASE_T007_A06,-0.3724,0.1276,10,0.04744911674087757,True
P01_L010,P01,base,P01_L010_BASE_T008_A01,-0.1604,0.3396,10,0.03709947262440682,True
P01_L010,P01,base,P01_L010_BASE_T008_A02,0.1604,0.6604,10,0.021027991887835565,True
P01_L010,P01,base,P01_L010_BASE_T008_A03,-0.0516,0.4484,11,0.03025784863758182,True
P01_L010,P01,base,P01_L010_BASE_T008_A04,0.0516,0.5516,10,0.016665513697522658,True
P01_L010,P01,base,P01_L010_BASE_T008_A05,-0.3724,0.1276,10,0.028334009508238552,True
P01_L010,P01,base,P01_L010_BASE_T008_A06,-0.2693,0.23070000000000002,10,0.03325205739999529,True
P01_L010,P01,base,P01_L010_BASE_T009_A01,0.0,0.5,10,0.017917960745638235,True
P01_L010,P01,base,P01_L010_BASE_T009_A02,-0.3209,0.17909999999999998,10,0.018847271224639153,True
P01_L010,P01,base,P01_L010_BASE_T009_A03,-0.212,0.28800000000000003,10,0.01715017332507051,True
P01_L010,P01,base,P01_L010_BASE_T009_A04,-0.1089,0.3911,10,0.018847271224639153,True
P01_L010,P01,base,P01_L010_BASE_T009_A05,0.1089,0.6089,10,0.04744913549436037,True
P01_L010,P01,base,P01_L010_BASE_T009_A06,-0.424,0.07600000000000001,10,0.013592162342685414,True
P01_L010,P01,base,P01_L010_BASE_T010_A01,0.0,0.5,10,0.021028030169661753,True
P01_L010,P01,base,P01_L010_BASE_T010_A02,-0.424,0.07600000000000001,11,0.013915139122738562,True
P01_L010,P01,base,P01_L010_BASE_T010_A03,-0.3209,0.17909999999999998,10,0.01715017332507051,True
P01_L010,P01,base,P01_L010_BASE_T010_A04,-0.1089,0.3911,10,0.012018731370471556,True
P01_L010,P01,base,P01_L010_BASE_T010_A05,0.1089,0.6089,10,0.04744911674087757,True
P01_L010,P01,base,P01_L010_BASE_T010_A06,-0.212,0.28800000000000003,10,0.019134571633085542,True
P01_L010,P01,base,P01_L010_BASE_T011_A01,-0.212,0.28800000000000003,10,0.023780908218862473,True
P01_L010,P01,base,P01_L010_BASE_T011_A02,0.1089,0.6089,10,0.04744911674087757,True
P01_L010,P01,base,P01_L010_BASE_T011_A03,-0.1089,0.3911,10,0.014937176526394149,True
P01_L010,P01,base,P01_L010_BASE_T011_A04,-0.3209,0.17909999999999998,10,0.021028011028749086,True
P01_L010,P01,base,P01_L010_BASE_T011_A05,-0.424,0.07600000000000001,10,0.02215381720840309,True
P01_L010,P01,base,P01_L010_BASE_T011_A06,0.0,0.5,10,0.02693693568930292,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A01,0.0,0.5,10,0.021027991887835565,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A02,-0.424,0.07600000000000001,11,0.022952933048361455,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A03,0.1089,0.6089,10,0.03182717477188986,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A04,-0.1089,0.3911,10,0.023780908218862473,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A05,-0.212,0.28800000000000003,10,0.023780908218862473,True
P01_L010,P01,flanker,P01_L010_FLANKER_T000_A06,-0.3209,0.17909999999999998,10,0.013297745004192122,True
P01_L010,P01,flanker,P01_L010_FLANKER_T001_A01,0.3209,0.8209,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T001_A02,-0.4011,0.09889999999999999,11,0.0337588920691308,True
P01_L010,P01,flanker,P01_L010_FLANKER_T001_A03,0.2693,0.7693,11,0.01741160272931841,True
P01_L010,P01,flanker,P01_L010_FLANKER_T001_A04,0.3724,0.8724000000000001,11,0.01379935121012909,True
P01_L010,P01,flanker,P01_L010_FLANKER_T002_A01,0.2693,0.7693,10,0.01999119000550058,True
P01_L010,P01,flanker,P01_L010_FLANKER_T002_A02,0.3724,0.8724000000000001,10,0.026532500914661084,True
P01_L010,P01,flanker,P01_L010_FLANKER_T002_A03,-0.4011,0.09889999999999999,11,0.032804824806437365,True
P01_L010,P01,flanker,P01_L010_FLANKER_T002_A04,0.3209,0.8209,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T003_A01,-0.4011,0.09889999999999999,10,0.046659616851584144,True
P01_L010,P01,flanker,P01_L010_FLANKER_T003_A02,0.3209,0.8209,10,0.04303695186188735,True
P01_L010,P01,flanker,P01_L010_FLANKER_T003_A03,0.2693,0.7693,10,0.013754701617284364,True
P01_L010,P01,flanker,P01_L010_FLANKER_T003_A04,0.3724,0.8724000000000001,10,0.023034124021387232,True
P01_L010,P01,flanker,P01_L010_FLANKER_T004_A01,-0.4011,0.09889999999999999,10,0.05276808998683198,True
P01_L010,P01,flanker,P01_L010_FLANKER_T004_A02,0.3724,0.8724000000000001,10,0.021245729354590008,True
P01_L010,P01,flanker,P01_L010_FLANKER_T004_A03,0.2693,0.7693,10,0.010737451675686932,True
P01_L010,P01,flanker,P01_L010_FLANKER_T004_A04,0.3209,0.8209,10,0.04867111405838559,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A01,-0.0516,0.4484,10,0.033252016814495224,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A02,0.0516,0.5516,10,0.018847271224639153,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A03,-0.2693,0.23070000000000002,10,0.02980356302794058,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A04,-0.1604,0.3396,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A05,0.1604,0.6604,10,0.026532538421626936,True
P01_L010,P01,flanker,P01_L010_FLANKER_T005_A06,-0.3724,0.1276,10,0.045797161027519684,True
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A01,-0.1604,0.3396,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A02,0.1604,0.6604,10,0.014417124417538753,True
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A03,-0.3724,0.1276,10,0.03575099129804049,False
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A04,-0.2693,0.23070000000000002,10,0.03253180721952658,True
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A05,0.0516,0.5516,11,0.01379935121012909,True
P01_L010,P01,flanker,P01_L010_FLANKER_T006_A06,-0.0516,0.4484,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A01,0.0516,0.5516,10,0.016665484373375825,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A02,-0.0516,0.4484,10,0.03575099129804049,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A03,0.1604,0.6604,10,0.016665513697522658,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A04,-0.1604,0.3396,10,0.03817842828049972,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A05,-0.2693,0.23070000000000002,10,0.026936968513419663,True
P01_L010,P01,flanker,P01_L010_FLANKER_T007_A06,-0.3724,0.1276,10,0.03575099129804049,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A01,-0.1604,0.3396,11,0.028961314049551802,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A02,0.1604,0.6604,10,0.020745244306908644,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A03,-0.0516,0.4484,10,0.04744911674087757,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A04,0.0516,0.5516,10,0.015164868985651213,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A05,-0.3724,0.1276,10,0.059064715786262996,True
P01_L010,P01,flanker,P01_L010_FLANKER_T008_A06,-0.2693,0.23070000000000002,10,0.0241433865563906,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A01,-0.424,0.07600000000000001,11,0.01755774676104157,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A02,-0.1089,0.3911,10,0.021639562713610398,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A03,0.1089,0.6089,10,0.039887626292640414,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A04,-0.3209,0.17909999999999998,10,0.017797072851063533,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A05,0.0,0.5,10,0.023780908218862473,True
P01_L010,P01,flanker,P01_L010_FLANKER_T009_A06,-0.212,0.28800000000000003,10,0.017150173578604672,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A01,0.0,0.5,10,0.021028030169661753,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A02,-0.1089,0.3911,10,0.023780908218862473,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A03,0.1089,0.6089,11,0.03025784863758182,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A04,-0.3209,0.17909999999999998,10,0.02346106529248967,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A05,-0.212,0.28800000000000003,10,0.024143408546343396,True
P01_L010,P01,flanker,P01_L010_FLANKER_T010_A06,-0.424,0.07600000000000001,10,0.026532500914661084,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A01,0.1089,0.6089,10,0.03760522491215641,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A02,-0.1089,0.3911,11,0.0169195217722421,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A03,0.0,0.5,10,0.02653247531395564,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A04,-0.424,0.07600000000000001,10,0.022952924530429464,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A05,-0.212,0.28800000000000003,10,0.02653251966814406,True
P01_L010,P01,flanker,P01_L010_FLANKER_T011_A06,-0.3209,0.17909999999999998,11,0.015605891054484278,True
P01_L020,P01,base,P01_L020_BASE_T000_A01,0.2464,0.7464,10,0.0572497130113388,True
P01_L020,P01,base,P01_L020_BASE_T000_A02,-0.1547,0.3453,10,0.02849922365369299,True
P01_L020,P01,base,P01_L020_BASE_T000_A03,0.0458,0.5458,10,0.056326973292493636,True
P01_L020,P01,base,P01_L020_BASE_T000_A04,-0.3552,0.14479999999999998,10,0.02849922365369299,True
P01_L020,P01,base,P01_L020_BASE_T001_A01,-0.3552,0.14479999999999998,10,0.030587329329540287,True
P01_L020,P01,base,P01_L020_BASE_T001_A02,0.0458,0.5458,11,0.0166098535522219,True
P01_L020,P01,base,P01_L020_BASE_T001_A03,-0.1547,0.3453,10,0.022315006318209058,True
P01_L020,P01,base,P01_L020_BASE_T001_A04,0.2464,0.7464,10,0.05724969046807253,True
P01_L020,P01,base,P01_L020_BASE_T002_A01,-0.2865,0.21350000000000002,10,0.024990391008287025,True
P01_L020,P01,base,P01_L020_BASE_T002_A02,0.3151,0.8150999999999999,11,0.014831650739024078,False
P01_L020,P01,base,P01_L020_BASE_T002_A03,0.1146,0.6146,10,0.014564812854155567,True
P01_L020,P01,base,P01_L020_BASE_T002_A04,-0.0859,0.4141,10,0.06528796451225195,True
P01_L020,P01,base,P01_L020_BASE_T003_A01,-0.2865,0.21350000000000002,10,0.019252229240803637,True
P01_L020,P01,base,P01_L020_BASE_T003_A02,0.1146,0.6146,10,0.023328860262498197,True
P01_L020,P01,base,P01_L020_BASE_T003_A03,-0.0859,0.4141,10,0.04410430986956804,False
P01_L020,P01,base,P01_L020_BASE_T003_A04,0.3151,0.8150999999999999,10,0.025448199720327944,True
P01_L020,P01,base,P01_L020_BASE_T004_A01,-0.2865,0.21350000000000002,10,0.016881901493797036,True
P01_L020,P01,base,P01_L020_BASE_T004_A02,0.1146,0.6146,10,0.023949968530552472,True
P01_L020,P01,base,P01_L020_BASE_T004_A03,-0.0859,0.4141,10,0.0572497130113388,True
P01_L020,P01,base,P01_L020_BASE_T004_A04,0.3151,0.8150999999999999,10,0.032500761227298884,True
P01_L020,P01,base,P01_L020_BASE_T005_A01,-0.0172,0.4828,10,0.023140116229879486,True
P01_L020,P01,base,P01_L020_BASE_T005_A02,0.1776,0.6776,10,0.01890588496617864,True
P01_L020,P01,base,P01_L020_BASE_T005_A03,-0.4183,0.0817,10,0.049392056574159064,True
P01_L020,P01,base,P01_L020_BASE_T005_A04,-0.2177,0.2823,10,0.029258056431992197,True
P01_L020,P01,base,P01_L020_BASE_T006_A01,-0.0172,0.4828,10,0.02682140604079284,True
P01_L020,P01,base,P01_L020_BASE_T006_A02,0.1776,0.6776,10,0.028499178532777735,True
P01_L020,P01,base,P01_L020_BASE_T006_A03,-0.4183,0.0817,10,0.049392056574159064,True
P01_L020,P01,base,P01_L020_BASE_T006_A04,-0.2177,0.2823,11,0.034533874074582034,True
P01_L020,P01,base,P01_L020_BASE_T007_A01,-0.3552,0.14479999999999998,10,0.021001262123511576,True
P01_L020,P01,base,P01_L020_BASE_T007_A02,0.0458,0.5458,10,0.030836780138880582,True
P01_L020,P01,base,P01_L020_BASE_T007_A03,-0.1547,0.3453,10,0.02849922365369299,True
P01_L020,P01,base,P01_L020_BASE_T007_A04,0.2464,0.7464,10,0.056327041462983646,True
P01_L020,P01,base,P01_L020_BASE_T008_A01,-0.0859,0.4141,10,0.06528798907885075,True
P01_L020,P01,base,P01_L020_BASE_T008_A02,0.3151,0.8150999999999999,10,0.017792845404390873,True
P01_L020,P01,base,P01_L020_BASE_T008_A03,0.1146,0.6146,10,0.018601222367837834,True
P01_L020,P01,base,P01_L020_BASE_T008_A04,-0.2865,0.21350000000000002,10,0.018601222367837834,True
P01_L020,P01,base,P01_L020_BASE_T009_A01,-0.0172,0.4828,10,0.014302810156686005,True
P01_L020,P01,base,P01_L020_BASE_T009_A02,0.1776,0.6776,10,0.021560435023405322,True
P01_L020,P01,base,P01_L020_BASE_T009_A03,-0.4183,0.0817,11,0.017972206055823867,True
P01_L020,P01,base,P01_L020_BASE_T009_A04,-0.2177,0.2823,11,0.025242336585488044,True
P01_L020,P01,base,P01_L020_BASE_T010_A01,-0.0172,0.4828,11,0.015759445130223926,True
P01_L020,P01,base,P01_L020_BASE_T010_A02,-0.4183,0.0817,10,0.05724969046807253,True
P01_L020,P01,base,P01_L020_BASE_T010_A03,0.1776,0.6776,10,0.017792845404390873,True
P01_L020,P01,base,P01_L020_BASE_T010_A04,-0.2177,0.2823,11,0.05248185033270821,True
P01_L020,P01,base,P01_L020_BASE_T011_A01,0.2464,0.7464,10,0.05829851812996668,True
P01_L020,P01,base,P01_L020_BASE_T011_A02,-0.1547,0.3453,10,0.024990391008287025,True
P01_L020,P01,base,P01_L020_BASE_T011_A03,-0.3552,0.14479999999999998,10,0.02156041225740713,True
P01_L020,P01,base,P01_L020_BASE_T011_A04,0.0458,0.5458,10,0.035166494683071835,True
P01_L020,P01,flanker,P01_L020_FLANKER_T000_A01,-0.4183,0.0817,10,0.06528798907885075,True
P01_L020,P01,flanker,P01_L020_FLANKER_T000_A02,0.1776,0.6776,10,0.02156041225740713,True
P01_L020,P01,flanker,P01_L020_FLANKER_T000_A03,-0.2177,0.2823,11,0.05248187005164794,True
P01_L020,P01,flanker,P01_L020_FLANKER_T000_A04,-0.0172,0.4828,11,0.02290915409448139,True
P01_L020,P01,flanker,P01_L020_FLANKER_T001_A01,0.0458,0.5458,10,0.05112074688198476,True
P01_L020,P01,flanker,P01_L020_FLANKER_T001_A02,-0.3552,0.14479999999999998,11,0.026125764648927862,True
P01_L020,P01,flanker,P01_L020_FLANKER_T001_A03,0.2464,0.7464,10,0.0572497130113388,True
P01_L020,P01,flanker,P01_L020_FLANKER_T001_A04,-0.1547,0.3453,10,0.02458767434207567,True
P01_L020,P01,flanker,P01_L020_FLANKER_T002_A01,0.2464,0.7464,10,0.05724969046807253,True
P01_L020,P01,flanker,P01_L020_FLANKER_T002_A02,0.0458,0.5458,10,0.05724969046807253,True
P01_L020,P01,flanker,P01_L020_FLANKER_T002_A03,-0.1547,0.3453,10,0.025448199720327944,True
P01_L020,P01,flanker,P01_L020_FLANKER_T002_A04,-0.3552,0.14479999999999998,10,0.02849922365369299,True
P01_L020,P01,flanker,P01_L020_FLANKER_T003_A01,-0.2865,0.21350000000000002,10,0.01890588496617864,True
P01_L020,P01,flanker,P01_L020_FLANKER_T003_A02,0.1146,0.6146,11,0.019604937305468022,True
P01_L020,P01,flanker,P01_L020_FLANKER_T003_A03,-0.0859,0.4141,10,0.043310909111814844,True
P01_L020,P01,flanker,P01_L020_FLANKER_T003_A04,0.3151,0.8150999999999999,10,0.024990391008287025,True
P01_L020,P01,flanker,P01_L020_FLANKER_T004_A01,0.1146,0.6146,10,0.023519136526128866,True
P01_L020,P01,flanker,P01_L020_FLANKER_T004_A02,-0.2865,0.21350000000000002,10,0.016881882799634637,True
P01_L020,P01,flanker,P01_L020_FLANKER_T004_A03,0.3151,0.8150999999999999,10,0.023519136526128866,True
P01_L020,P01,flanker,P01_L020_FLANKER_T004_A04,-0.0859,0.4141,11,0.031147666916315972,True
P01_L020,P01,flanker,P01_L020_FLANKER_T005_A01,0.1146,0.6146,10,0.021001262123511576,True
P01_L020,P01,flanker,P01_L020_FLANKER_T005_A02,-0.2865,0.21350000000000002,10,0.024990391008287025,True
P01_L020,P01,flanker,P01_L020_FLANKER_T005_A03,-0.0859,0.4141,10,0.0572497130113388,True
P01_L020,P01,flanker,P01_L020_FLANKER_T005_A04,0.3151,0.8150999999999999,10,0.019252225898920314,True
P01_L020,P01,flanker,P01_L020_FLANKER_T006_A01,0.0458,0.5458,10,0.043310909111814844,True
P01_L020,P01,flanker,P01_L020_FLANKER_T006_A02,-0.1547,0.3453,10,0.01890588496617864,False
P01_L020,P01,flanker,P01_L020_FLANKER_T006_A03,0.2464,0.7464,10,0.03276585091249496,True
P01_L020,P01,flanker,P01_L020_FLANKER_T006_A04,-0.3552,0.14479999999999998,10,0.02849922365369299,True
P01_L020,P01,flanker,P01_L020_FLANKER_T007_A01,0.1776,0.6776,10,0.021560379391776602,True
P01_L020,P01,flanker,P01_L020_FLANKER_T007_A02,-0.0172,0.4828,10,0.013460740782986471,True
P01_L020,P01,flanker,P01_L020_FLANKER_T007_A03,-0.2177,0.2823,11,0.05248185033270821,True
P01_L020,P01,flanker,P01_L020_FLANKER_T007_A04,-0.4183,0.0817,10,0.0572497130113388,True
P01_L020,P01,flanker,P01_L020_FLANKER_T008_A01,0.3151,0.8150999999999999,10,0.025448225797079893,True
P01_L020,P01,flanker,P01_L020_FLANKER_T008_A02,0.1146,0.6146,10,0.024990391008287025,True
P01_L020,P01,flanker,P01_L020_FLANKER_T008_A03,-0.2865,0.21350000000000002,10,0.024990391008287025,True
P01_L020,P01,flanker,P01_L020_FLANKER_T008_A04,-0.0859,0.4141,10,0.053879237604912214,True
P01_L020,P01,flanker,P01_L020_FLANKER_T009_A01,0.0458,0.5458,10,0.03736637844745705,True
P01_L020,P01,flanker,P01_L020_FLANKER_T009_A02,-0.1547,0.3453,10,0.01890588496617864,True
P01_L020,P01,flanker,P01_L020_FLANKER_T009_A03,0.2464,0.7464,10,0.04410436215858273,True
