condition_id,experiment,recorded_file_index,recorded_staircase_id,status
P01_L010,base,222.0,222.0,recorded source list; application to saved archive not established
P01_L010,flanker,222.0,222.0,recorded source list; application to saved archive not established
P01_L020,base,222.0,222.0,recorded source list; application to saved archive not established
P01_L020,base,9.0,3.0,recorded source list; application to saved archive not established
P01_L020,flanker,222.0,222.0,recorded source list; application to saved archive not established
P01_L025,base,222.0,222.0,recorded source list; application to saved archive not established
P01_L025,flanker,222.0,222.0,recorded source list; application to saved archive not established
P01_L050,base,222.0,222.0,recorded source list; application to saved archive not established
P01_L050,flanker,222.0,222.0,recorded source list; application to saved archive not established
P01_L200,base,222.0,222.0,recorded source list; application to saved archive not established
P01_L200,base,3.0,3.0,recorded source list; application to saved archive not established
P01_L200,base,2.0,2.0,recorded source list; application to saved archive not established
P01_L200,flanker,222.0,222.0,recorded source list; application to saved archive not established
P01_L200,flanker,6.0,2.0,recorded source list; application to saved archive not established
P01_L200,flanker,21.0,8.0,recorded source list; application to saved archive not established
P01_L200,flanker,16.0,5.0,recorded source list; application to saved archive not established
P01_L200,flanker,3.0,0.0,recorded source list; application to saved archive not established
P01_L200,flanker,4.0,0.0,recorded source list; application to saved archive not established
P02_L010,base,222.0,222.0,recorded source list; application to saved archive not established
P02_L010,base,1.0,3.0,recorded source list; application to saved archive not established
P02_L010,flanker,222.0,222.0,recorded source list; application to saved archive not established
P02_L026,base,222.0,222.0,recorded source list; application to saved archive not established
P02_L026,flanker,222.0,222.0,recorded source list; application to saved archive not established
P02_L049,base,222.0,222.0,recorded source list; application to saved archive not established
P02_L049,flanker,222.0,222.0,recorded source list; application to saved archive not established
P02_L100,base,222.0,222.0,recorded source list; application to saved archive not established
P02_L100,flanker,222.0,222.0,recorded source list; application to saved archive not established
P03_L010,base,222.0,222.0,recorded source list; application to saved archive not established
P03_L010,flanker,222.0,222.0,recorded source list; application to saved archive not established
P03_L049,base,222.0,222.0,recorded source list; application to saved archive not established
P03_L049,flanker,222.0,222.0,recorded source list; application to saved archive not established
P03_L100,base,222.0,222.0,recorded source list; application to saved archive not established
P03_L100,flanker,222.0,222.0,recorded source list; application to saved archive not established
P03_L200,base,222.0,222.0,recorded source list; application to saved archive not established
P03_L200,flanker,222.0,222.0,recorded source list; application to saved archive not established
P04_L010,base,222.0,222.0,recorded source list; application to saved archive not established
P04_L010,flanker,222.0,222.0,recorded source list; application to saved archive not established
P04_L049,base,222.0,222.0,recorded source list; application to saved archive not established
P04_L049,flanker,222.0,222.0,recorded source list; application to saved archive not established
P04_L100,base,222.0,222.0,recorded source list; application to saved archive not established
P04_L100,flanker,222.0,222.0,recorded source list; application to saved archive not established
P04_L200,base,222.0,222.0,recorded source list; application to saved archive not established
P04_L200,flanker,222.0,222.0,recorded source list; application to saved archive not established
