condition_id,experiment,metadata_source_id,key,value
P01_L010,base,P01_L010_BASE_META000,distance_To_Monitor:,1.0
P01_L010,base,P01_L010_BASE_META000,win_widthy:,0.2303
P01_L010,base,P01_L010_BASE_META000,win_widthx:,0.33638
P01_L010,base,P01_L010_BASE_META000,bkg_intensity:,0.189
P01_L010,base,P01_L010_BASE_META000,max_intensity:,1.0
P01_L010,base,P01_L010_BASE_META000,time_Stimulus:,250
P01_L010,base,P01_L010_BASE_META000,reversalN:,0.0
P01_L010,base,P01_L010_BASE_META000,rateDW:,0.5
P01_L010,base,P01_L010_BASE_META000,correctTick:,0
P01_L010,base,P01_L010_BASE_META000,count_Reversals:,0
P01_L010,base,P01_L010_BASE_META000,probe_LR:,0
P01_L010,base,P01_L010_BASE_META000,human_LR:,0
P01_L010,base,P01_L010_BASE_META000,posY:,0
P01_L010,base,P01_L010_BASE_META000,rateUP:,0.5
P01_L010,base,P01_L010_BASE_META000,probe_pos:,0.0
P01_L010,base,P01_L010_BASE_META000,text:,-1
P01_L010,base,P01_L010_BASE_META000,reversePOINT:,1
P01_L010,base,P01_L010_BASE_META000,trialPOINT:,6
P01_L010,base,P01_L010_BASE_META000,nDW:,4
P01_L010,base,P01_L010_BASE_META000,nUP:,1
P01_L010,base,P01_L010_BASE_META000,start_weber_Contrast:,0.35
P01_L010,base,P01_L010_BASE_META000,number_trials:,100
P01_L010,base,P01_L010_BASE_META000,terminationINDEX:,9
P01_L010,base,P01_L010_BASE_META000,stepDWUP:,0.005
P01_L010,base,P01_L010_BASE_META000,logUNIT_UP:,0.3
P01_L010,base,P01_L010_BASE_META000,logUNIT_DW:,0.25245
P01_L010,base,P01_L010_BASE_META000,condRule:,2
P01_L010,base,P01_L010_BASE_META000,preReversalStepDW:,0.3
P01_L010,base,P01_L010_BASE_META000,Reversal_or_Trial:,1
P01_L010,base,P01_L010_BASE_META000,limit_Trial_Run:,100
P01_L010,base,P01_L010_BASE_META000,max_monitor_cdm2:,400
P01_L010,base,P01_L010_BASE_META000,width:,665.8272745893497
P01_L010,base,P01_L010_BASE_META000,fs:,100
P01_L010,base,P01_L010_BASE_META000,ph:,0.0
P01_L010,base,P01_L010_BASE_META000,speed:,0.0
P01_L010,base,P01_L010_BASE_META000,contr:,0.0
P01_L010,base,P01_L010_BASE_META000,theta:,0.0
P01_L010,base,P01_L010_BASE_META000,bg:,0.189
P01_L010,base,P01_L010_BASE_META000,box:,False
