source_id,condition_id,experiment,source_directory_index,rows,columns,public_file
P01_L010_BASE_T000,P01_L010,base,0,247,16,data/raw/source_trials/p01_l010_base_t000.tsv.gz
P01_L010_BASE_T001,P01_L010,base,1,181,16,data/raw/source_trials/p01_l010_base_t001.tsv.gz
P01_L010_BASE_T002,P01_L010,base,2,171,16,data/raw/source_trials/p01_l010_base_t002.tsv.gz
P01_L010_BASE_T003,P01_L010,base,3,195,16,data/raw/source_trials/p01_l010_base_t003.tsv.gz
P01_L010_BASE_T004,P01_L010,base,4,173,16,data/raw/source_trials/p01_l010_base_t004.tsv.gz
P01_L010_BASE_T005,P01_L010,base,5,308,16,data/raw/source_trials/p01_l010_base_t005.tsv.gz
P01_L010_BASE_T006,P01_L010,base,6,287,16,data/raw/source_trials/p01_l010_base_t006.tsv.gz
P01_L010_BASE_T007,P01_L010,base,7,260,16,data/raw/source_trials/p01_l010_base_t007.tsv.gz
P01_L010_BASE_T008,P01_L010,base,8,291,16,data/raw/source_trials/p01_l010_base_t008.tsv.gz
P01_L010_BASE_T009,P01_L010,base,9,250,16,data/raw/source_trials/p01_l010_base_t009.tsv.gz
P01_L010_BASE_T010,P01_L010,base,10,311,16,data/raw/source_trials/p01_l010_base_t010.tsv.gz
P01_L010_BASE_T011,P01_L010,base,11,287,16,data/raw/source_trials/p01_l010_base_t011.tsv.gz
P01_L010_FLANKER_T000,P01_L010,flanker,0,249,16,data/raw/source_trials/p01_l010_flanker_t000.tsv.gz
P01_L010_FLANKER_T001,P01_L010,flanker,1,181,16,data/raw/source_trials/p01_l010_flanker_t001.tsv.gz
P01_L010_FLANKER_T002,P01_L010,flanker,2,187,16,data/raw/source_trials/p01_l010_flanker_t002.tsv.gz
P01_L010_FLANKER_T003,P01_L010,flanker,3,216,16,data/raw/source_trials/p01_l010_flanker_t003.tsv.gz
P01_L010_FLANKER_T004,P01_L010,flanker,4,191,16,data/raw/source_trials/p01_l010_flanker_t004.tsv.gz
P01_L010_FLANKER_T005,P01_L010,flanker,5,277,16,data/raw/source_trials/p01_l010_flanker_t005.tsv.gz
P01_L010_FLANKER_T006,P01_L010,flanker,6,280,16,data/raw/source_trials/p01_l010_flanker_t006.tsv.gz
P01_L010_FLANKER_T007,P01_L010,flanker,7,303,16,data/raw/source_trials/p01_l010_flanker_t007.tsv.gz
P01_L010_FLANKER_T008,P01_L010,flanker,8,299,16,data/raw/source_trials/p01_l010_flanker_t008.tsv.gz
P01_L010_FLANKER_T009,P01_L010,flanker,9,293,16,data/raw/source_trials/p01_l010_flanker_t009.tsv.gz
P01_L010_FLANKER_T010,P01_L010,flanker,10,276,16,data/raw/source_trials/p01_l010_flanker_t010.tsv.gz
P01_L010_FLANKER_T011,P01_L010,flanker,11,272,16,data/raw/source_trials/p01_l010_flanker_t011.tsv.gz
P01_L020_BASE_T000,P01_L020,base,0,178,16,data/raw/source_trials/p01_l020_base_t000.tsv.gz
P01_L020_BASE_T001,P01_L020,base,1,171,16,data/raw/source_trials/p01_l020_base_t001.tsv.gz
P01_L020_BASE_T002,P01_L020,base,2,185,16,data/raw/source_trials/p01_l020_base_t002.tsv.gz
P01_L020_BASE_T003,P01_L020,base,3,200,16,data/raw/source_trials/p01_l020_base_t003.tsv.gz
P01_L020_BASE_T004,P01_L020,base,4,181,16,data/raw/source_trials/p01_l020_base_t004.tsv.gz
P01_L020_BASE_T005,P01_L020,base,5,185,16,data/raw/source_trials/p01_l020_base_t005.tsv.gz
P01_L020_BASE_T006,P01_L020,base,6,164,16,data/raw/source_trials/p01_l020_base_t006.tsv.gz
P01_L020_BASE_T007,P01_L020,base,7,179,16,data/raw/source_trials/p01_l020_base_t007.tsv.gz
P01_L020_BASE_T008,P01_L020,base,8,177,16,data/raw/source_trials/p01_l020_base_t008.tsv.gz
P01_L020_BASE_T009,P01_L020,base,9,184,16,data/raw/source_trials/p01_l020_base_t009.tsv.gz
P01_L020_BASE_T010,P01_L020,base,10,165,16,data/raw/source_trials/p01_l020_base_t010.tsv.gz
P01_L020_BASE_T011,P01_L020,base,11,183,16,data/raw/source_trials/p01_l020_base_t011.tsv.gz
P01_L020_FLANKER_T000,P01_L020,flanker,0,151,16,data/raw/source_trials/p01_l020_flanker_t000.tsv.gz
P01_L020_FLANKER_T001,P01_L020,flanker,1,167,16,data/raw/source_trials/p01_l020_flanker_t001.tsv.gz
P01_L020_FLANKER_T002,P01_L020,flanker,2,159,16,data/raw/source_trials/p01_l020_flanker_t002.tsv.gz
P01_L020_FLANKER_T003,P01_L020,flanker,3,163,16,data/raw/source_trials/p01_l020_flanker_t003.tsv.gz
P01_L020_FLANKER_T004,P01_L020,flanker,4,182,16,data/raw/source_trials/p01_l020_flanker_t004.tsv.gz
P01_L020_FLANKER_T005,P01_L020,flanker,5,165,16,data/raw/source_trials/p01_l020_flanker_t005.tsv.gz
P01_L020_FLANKER_T006,P01_L020,flanker,6,157,16,data/raw/source_trials/p01_l020_flanker_t006.tsv.gz
P01_L020_FLANKER_T007,P01_L020,flanker,7,153,16,data/raw/source_trials/p01_l020_flanker_t007.tsv.gz
P01_L020_FLANKER_T008,P01_L020,flanker,8,153,16,data/raw/source_trials/p01_l020_flanker_t008.tsv.gz
P01_L020_FLANKER_T009,P01_L020,flanker,9,177,16,data/raw/source_trials/p01_l020_flanker_t009.tsv.gz
P01_L020_FLANKER_T010,P01_L020,flanker,10,155,16,data/raw/source_trials/p01_l020_flanker_t010.tsv.gz
P01_L020_FLANKER_T011,P01_L020,flanker,11,186,16,data/raw/source_trials/p01_l020_flanker_t011.tsv.gz
P01_L025_BASE_T000,P01_L025,base,0,161,16,data/raw/source_trials/p01_l025_base_t000.tsv.gz
P01_L025_BASE_T001,P01_L025,base,1,148,16,data/raw/source_trials/p01_l025_base_t001.tsv.gz
P01_L025_BASE_T002,P01_L025,base,2,171,16,data/raw/source_trials/p01_l025_base_t002.tsv.gz
P01_L025_BASE_T003,P01_L025,base,3,215,16,data/raw/source_trials/p01_l025_base_t003.tsv.gz
P01_L025_BASE_T004,P01_L025,base,4,188,16,data/raw/source_trials/p01_l025_base_t004.tsv.gz
P01_L025_BASE_T005,P01_L025,base,5,195,16,data/raw/source_trials/p01_l025_base_t005.tsv.gz
P01_L025_BASE_T006,P01_L025,base,6,188,16,data/raw/source_trials/p01_l025_base_t006.tsv.gz
P01_L025_BASE_T007,P01_L025,base,7,178,16,data/raw/source_trials/p01_l025_base_t007.tsv.gz
P01_L025_BASE_T008,P01_L025,base,8,167,16,data/raw/source_trials/p01_l025_base_t008.tsv.gz
P01_L025_BASE_T009,P01_L025,base,9,190,16,data/raw/source_trials/p01_l025_base_t009.tsv.gz
P01_L025_BASE_T010,P01_L025,base,10,179,16,data/raw/source_trials/p01_l025_base_t010.tsv.gz
P01_L025_BASE_T011,P01_L025,base,11,177,16,data/raw/source_trials/p01_l025_base_t011.tsv.gz
P01_L025_BASE_T012,P01_L025,base,12,173,16,data/raw/source_trials/p01_l025_base_t012.tsv.gz
P01_L025_BASE_T013,P01_L025,base,13,178,16,data/raw/source_trials/p01_l025_base_t013.tsv.gz
P01_L025_BASE_T014,P01_L025,base,14,171,16,data/raw/source_trials/p01_l025_base_t014.tsv.gz
P01_L025_BASE_T015,P01_L025,base,15,186,16,data/raw/source_trials/p01_l025_base_t015.tsv.gz
P01_L025_FLANKER_T000,P01_L025,flanker,0,138,16,data/raw/source_trials/p01_l025_flanker_t000.tsv.gz
P01_L025_FLANKER_T001,P01_L025,flanker,1,181,16,data/raw/source_trials/p01_l025_flanker_t001.tsv.gz
P01_L025_FLANKER_T002,P01_L025,flanker,2,243,16,data/raw/source_trials/p01_l025_flanker_t002.tsv.gz
P01_L025_FLANKER_T003,P01_L025,flanker,3,173,16,data/raw/source_trials/p01_l025_flanker_t003.tsv.gz
P01_L025_FLANKER_T004,P01_L025,flanker,4,203,16,data/raw/source_trials/p01_l025_flanker_t004.tsv.gz
P01_L025_FLANKER_T005,P01_L025,flanker,5,143,16,data/raw/source_trials/p01_l025_flanker_t005.tsv.gz
P01_L025_FLANKER_T006,P01_L025,flanker,6,128,16,data/raw/source_trials/p01_l025_flanker_t006.tsv.gz
P01_L025_FLANKER_T007,P01_L025,flanker,7,127,16,data/raw/source_trials/p01_l025_flanker_t007.tsv.gz
P01_L025_FLANKER_T008,P01_L025,flanker,8,146,16,data/raw/source_trials/p01_l025_flanker_t008.tsv.gz
P01_L025_FLANKER_T009,P01_L025,flanker,9,184,16,data/raw/source_trials/p01_l025_flanker_t009.tsv.gz
P01_L025_FLANKER_T010,P01_L025,flanker,10,180,16,data/raw/source_trials/p01_l025_flanker_t010.tsv.gz
P01_L025_FLANKER_T011,P01_L025,flanker,11,186,16,data/raw/source_trials/p01_l025_flanker_t011.tsv.gz
P01_L025_FLANKER_T012,P01_L025,flanker,12,170,16,data/raw/source_trials/p01_l025_flanker_t012.tsv.gz
P01_L025_FLANKER_T013,P01_L025,flanker,13,170,16,data/raw/source_trials/p01_l025_flanker_t013.tsv.gz
P01_L025_FLANKER_T014,P01_L025,flanker,14,188,16,data/raw/source_trials/p01_l025_flanker_t014.tsv.gz
P01_L025_FLANKER_T015,P01_L025,flanker,15,189,16,data/raw/source_trials/p01_l025_flanker_t015.tsv.gz
P01_L050_BASE_T000,P01_L050,base,0,178,16,data/raw/source_trials/p01_l050_base_t000.tsv.gz
P01_L050_BASE_T001,P01_L050,base,1,147,16,data/raw/source_trials/p01_l050_base_t001.tsv.gz
P01_L050_BASE_T002,P01_L050,base,2,89,16,data/raw/source_trials/p01_l050_base_t002.tsv.gz
P01_L050_BASE_T003,P01_L050,base,3,115,16,data/raw/source_trials/p01_l050_base_t003.tsv.gz
P01_L050_BASE_T004,P01_L050,base,4,144,16,data/raw/source_trials/p01_l050_base_t004.tsv.gz
P01_L050_BASE_T005,P01_L050,base,5,180,16,data/raw/source_trials/p01_l050_base_t005.tsv.gz
P01_L050_BASE_T006,P01_L050,base,6,158,16,data/raw/source_trials/p01_l050_base_t006.tsv.gz
P01_L050_BASE_T007,P01_L050,base,7,175,16,data/raw/source_trials/p01_l050_base_t007.tsv.gz
P01_L050_BASE_T008,P01_L050,base,8,285,16,data/raw/source_trials/p01_l050_base_t008.tsv.gz
P01_L050_BASE_T009,P01_L050,base,9,133,16,data/raw/source_trials/p01_l050_base_t009.tsv.gz
P01_L050_BASE_T010,P01_L050,base,10,126,16,data/raw/source_trials/p01_l050_base_t010.tsv.gz
P01_L050_BASE_T011,P01_L050,base,11,171,16,data/raw/source_trials/p01_l050_base_t011.tsv.gz
P01_L050_BASE_T012,P01_L050,base,12,179,16,data/raw/source_trials/p01_l050_base_t012.tsv.gz
P01_L050_BASE_T013,P01_L050,base,13,165,16,data/raw/source_trials/p01_l050_base_t013.tsv.gz
P01_L050_BASE_T014,P01_L050,base,14,174,16,data/raw/source_trials/p01_l050_base_t014.tsv.gz
P01_L050_BASE_T015,P01_L050,base,15,162,16,data/raw/source_trials/p01_l050_base_t015.tsv.gz
P01_L050_BASE_T016,P01_L050,base,16,196,16,data/raw/source_trials/p01_l050_base_t016.tsv.gz
P01_L050_BASE_T017,P01_L050,base,17,185,16,data/raw/source_trials/p01_l050_base_t017.tsv.gz
P01_L050_BASE_T018,P01_L050,base,18,193,16,data/raw/source_trials/p01_l050_base_t018.tsv.gz
P01_L050_BASE_T019,P01_L050,base,19,186,16,data/raw/source_trials/p01_l050_base_t019.tsv.gz
P01_L050_BASE_T020,P01_L050,base,20,187,16,data/raw/source_trials/p01_l050_base_t020.tsv.gz
P01_L050_BASE_T021,P01_L050,base,21,174,16,data/raw/source_trials/p01_l050_base_t021.tsv.gz
P01_L050_BASE_T022,P01_L050,base,22,395,16,data/raw/source_trials/p01_l050_base_t022.tsv.gz
P01_L050_BASE_T023,P01_L050,base,23,384,16,data/raw/source_trials/p01_l050_base_t023.tsv.gz
P01_L050_BASE_T024,P01_L050,base,24,208,16,data/raw/source_trials/p01_l050_base_t024.tsv.gz
