file,thesis_reference,subjects,status,data_source
figures/reference/reference_subject_1.png,Figure 5.3,P01,Original supplied PNG; byte-preserved,Selected saved fits and input profiles; historical plotting provenance not fully recovered
figures/reference/reference_subject_2.png,Figure 5.4,P02,Original supplied PNG; byte-preserved,Selected saved fits and input profiles; historical plotting provenance not fully recovered
figures/reference/reference_subject_4.png,Figure 5.5,P04,Original supplied PNG; byte-preserved,Selected saved fits and input profiles; historical plotting provenance not fully recovered
figures/reference/reference_isf_across_luminance.png,Figure 5.6,P01;P02;P04,Original supplied PNG; byte-preserved,Saved accepted ISF distributions; source plotting conventions qualified
figures/diagnostics/p01_lateral_profiles.png,"New diagnostic, not an original thesis panel",P01,New exact deterministic profile calculation,data/processed/lateral_profiles_recomputed.csv
figures/diagnostics/p01_source_plotting_index_rule.png,"New diagnostic, not an original thesis panel",P01,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p01_row_linked_max_fms.png,"New diagnostic, not an original thesis panel",P01,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p02_lateral_profiles.png,"New diagnostic, not an original thesis panel",P02,New exact deterministic profile calculation,data/processed/lateral_profiles_recomputed.csv
figures/diagnostics/p02_source_plotting_index_rule.png,"New diagnostic, not an original thesis panel",P02,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p02_row_linked_max_fms.png,"New diagnostic, not an original thesis panel",P02,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p03_lateral_profiles.png,"New diagnostic, not an original thesis panel",P03,New exact deterministic profile calculation,data/processed/lateral_profiles_recomputed.csv
figures/diagnostics/p03_source_plotting_index_rule.png,"New diagnostic, not an original thesis panel",P03,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p03_row_linked_max_fms.png,"New diagnostic, not an original thesis panel",P03,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p04_lateral_profiles.png,"New diagnostic, not an original thesis panel",P04,New exact deterministic profile calculation,data/processed/lateral_profiles_recomputed.csv
figures/diagnostics/p04_source_plotting_index_rule.png,"New diagnostic, not an original thesis panel",P04,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/diagnostics/p04_row_linked_max_fms.png,"New diagnostic, not an original thesis panel",P04,New refit; assumed historical row/input link,data/processed/representative_profile_points.csv; representative_curves_recomputed.csv; isf_mode_summaries.csv
figures/measurements/isf_endpoints_with_percentile_ranges.png,New measurement overview; not original thesis panel,P01;P02;P03;P04,Descriptive saved-fit median and percentile range,data/processed/isf_endpoints.csv
figures/measurements/p01_l010_staircase_examples.png,New measurement overview; not original thesis panel,P01,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p01_l020_staircase_examples.png,New measurement overview; not original thesis panel,P01,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p01_l025_staircase_examples.png,New measurement overview; not original thesis panel,P01,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p01_l050_staircase_examples.png,New measurement overview; not original thesis panel,P01,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p01_l200_staircase_examples.png,New measurement overview; not original thesis panel,P01,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p02_l010_staircase_examples.png,New measurement overview; not original thesis panel,P02,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p02_l026_staircase_examples.png,New measurement overview; not original thesis panel,P02,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p02_l049_staircase_examples.png,New measurement overview; not original thesis panel,P02,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p02_l100_staircase_examples.png,New measurement overview; not original thesis panel,P02,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p03_l010_staircase_examples.png,New measurement overview; not original thesis panel,P03,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p03_l049_staircase_examples.png,New measurement overview; not original thesis panel,P03,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p03_l100_staircase_examples.png,New measurement overview; not original thesis panel,P03,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p03_l200_staircase_examples.png,New measurement overview; not original thesis panel,P03,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p04_l010_staircase_examples.png,New measurement overview; not original thesis panel,P04,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p04_l049_staircase_examples.png,New measurement overview; not original thesis panel,P04,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p04_l100_staircase_examples.png,New measurement overview; not original thesis panel,P04,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
figures/measurements/p04_l200_staircase_examples.png,New measurement overview; not original thesis panel,P04,Recorded staircase examples with exact reversal helper,data/processed/staircase_trials.csv.gz; staircase_thresholds.csv
